ID,Model,City MPG,Highway MPG,MilesPerGallon
1,Acura MDX,19,26,22
2,Acura TLX,22,31,25
3,Alfa Romeo Giulia,24,33,27
4,Audi A4,24,33,27
5,Audi A6,23,32,26
6,Audi Q5,23,28,25
7,Audi Q7,19,25,21
8,BMW 3 Series,26,36,30
9,BMW 5 Series,25,33,28
10,BMW X3,23,29,25
11,BMW X5,21,26,23
12,Buick Regal,22,32,26
13,Cadillac CT5,23,32,26
14,Cadillac CT6,18,27,21
15,Chevrolet Camaro,19,29,23
16,Chevrolet Cruze,29,40,33
17,Chevrolet Equinox,26,31,28
18,Chevrolet Impala,19,28,22
19,Chevrolet Malibu,29,36,32
20,Chevrolet Spark,30,38,33
21,Chevrolet Suburban,15,22,18
22,Chevrolet Tahoe,15,22,18
23,Chevrolet Traverse,18,27,21
24,Chrysler 300,19,30,23
25,Dodge Challenger,19,30,23
26,Dodge Charger,19,30,23
27,Fiat 500,28,33,30
28,Ford Edge,21,29,24
29,Ford Escape,27,33,30
30,Ford Expedition,17,23,19
31,Ford Fiesta,27,35,30
32,Ford Focus,26,38,31
33,Ford Fusion,23,34,27
34,Ford Explorer,20,28,23
35,Ford Mustang,21,31,25
36,Genesis G70,20,28,23
37,Genesis G80,19,27,22
38,GMC Yukon,15,22,18
39,Honda Accord,30,38,33
40,Honda Civic,31,40,35
41,Honda CR-V,28,34,30
42,Honda Fit,33,40,36
43,Honda Insight,55,49,52
44,Honda Pilot,20,27,23
45,Hyundai Accent,33,41,36
46,Hyundai Elantra,33,43,37
47,Hyundai Sonata,28,38,32
48,Hyundai Tucson,26,33,29
49,Infiniti Q50,20,29,23
50,Infiniti QX80,14,20,16
51,Jaguar XE,25,34,28
52,Jaguar XF,24,34,28
53,Jeep Grand Cherokee,19,26,22
54,Kia Forte,31,41,35
55,Kia Optima,27,37,31
56,Kia Rio,33,41,36
57,Kia Sportage,23,30,26
58,Kia Stinger,22,32,25
59,Land Rover Range Rover,17,23,19
60,Lexus ES,22,32,26
61,Lexus GX,15,19,16
62,Lexus IS,21,30,24
63,Lexus RX,20,27,23
64,Lincoln Aviator,17,24,20
65,Lincoln MKZ,20,31,24
66,Maserati Ghibli,17,24,19
67,Mazda 3,28,36,31
68,Mazda 6,26,35,29
69,Mazda CX-5,24,30,26
70,Mercedes-Benz C-Class,24,33,27
71,Mercedes-Benz E-Class,22,31,26
72,Mercedes-Benz G-Class,13,17,15
73,Mercedes-Benz GLE,18,24,20
74,Mini Cooper,28,36,31
75,Mitsubishi Mirage,36,43,39
76,Nissan Altima,28,39,32
77,Nissan Armada,14,19,16
78,Nissan Maxima,20,30,24
79,Nissan Rogue,27,35,30
80,Nissan Sentra,29,39,33
81,Nissan Versa,32,40,35
82,Porsche Cayenne,17,22,19
83,Subaru Forester,26,33,29
84,Subaru Impreza,28,36,31
85,Subaru Legacy,27,35,30
86,Toyota 4Runner,16,19,17
87,Toyota Avalon,22,32,26
88,Toyota Camry,28,39,32
89,Toyota Corolla,32,41,36
90,Toyota Highlander,21,29,24
91,Toyota Prius,58,53,56
92,Toyota RAV4,27,35,30
93,Toyota Sequoia,13,17,15
94,Toyota Yaris,32,40,35
95,Volkswagen Jetta,30,41,35
96,Volkswagen Passat,24,36,28
97,Volkswagen Tiguan,23,30,26
98,Volvo S60,23,34,27
99,Volvo S90,21,31,25
100,Volvo XC90,21,30,25
